file_name,true_label,predicted_label
sat_patch_0804.png,alta,media
sat_patch_1062.png,media,alta
sat_patch_1167.png,baixa,media
sat_patch_0612.png,media,alta
sat_patch_0284.png,media,alta
sat_patch_0601.png,media,alta
sat_patch_0920.png,alta,media
sat_patch_0599.png,media,alta
sat_patch_0677.png,alta,media
sat_patch_0449.png,alta,media
sat_patch_0130.png,media,baixa
sat_patch_0613.png,alta,media
sat_patch_0485.png,alta,media
sat_patch_0447.png,alta,media
sat_patch_0939.png,media,baixa
sat_patch_1033.png,media,alta
sat_patch_0943.png,alta,media
sat_patch_1188.png,media,alta
sat_patch_0658.png,alta,media
sat_patch_0288.png,alta,media
sat_patch_0619.png,media,alta
