name,label,label_index,latitude,longitude,bbox_size_meters,date,layer,local_image_path,note,urban_cnn_v1_p0,urban_cnn_v1_p1,urban_cnn_v1_p2,urban_cnn_v2_p0,urban_cnn_v2_p1,urban_cnn_v2_p2,urban_cnn_v3_p0,urban_cnn_v3_p1,urban_cnn_v3_p2,mean_red,mean_green,mean_blue,brightness,contrast,vegetation_index,water_index,built_up_proxy,texture,grayness
new_york_midtown,alta,2,40.758,-73.9855,2500,2025-05-01,VIIRS_SNPP_CorrectedReflectance_TrueColor,data\real_images\new_york_midtown_2025-05-01.png,Centro urbano vertical e muito adensado.,0.3491555452346802,0.40486419200897217,0.24598026275634766,0.33669957518577576,0.34381982684135437,0.3194805979728699,0.3392532765865326,0.3437838554382324,0.3169628977775574,79.88330078125,86.200439453125,81.757568359375,82.61376953125,7.948027610778809,0.038035864694400456,0.011595257981312041,-0.05682170532218367,8.323780059814453,0.9679342605502768
hong_kong_central,alta,2,22.2819,114.1589,2500,2025-05-01,VIIRS_SNPP_CorrectedReflectance_TrueColor,data\real_images\hong_kong_central_2025-05-01.png,Centro muito adensado com alta concentracao de edificios.,0.7737385034561157,0.22554713487625122,0.000714340538252145,0.3381141424179077,0.344926655292511,0.3169592022895813,0.41987764835357666,0.2489279806613922,0.3311944007873535,211.207763671875,212.248046875,213.8984375,212.451416015625,2.3086185455322266,0.0024566511479839,0.006329415615778885,0.01799997642136198,8.11124324798584,0.9947854622502922
tokyo_shinjuku,alta,2,35.6938,139.7034,2500,2025-05-01,VIIRS_SNPP_CorrectedReflectance_TrueColor,data\real_images\tokyo_shinjuku_2025-05-01.png,Zona metropolitana com forte concentracao urbana.,0.19366097450256348,0.5548893213272095,0.2514496147632599,0.33678779006004333,0.34419476985931396,0.3190174698829651,0.32178670167922974,0.3529205620288849,0.3252926766872406,99.792724609375,104.048828125,100.006103515625,101.28255462646484,17.64856719970703,0.020879469658290496,0.0010679687575836242,-0.029859861706561158,9.221447944641113,0.980668029913329
sao_paulo_paulista,alta,2,-23.5614,-46.6559,2500,2025-05-01,VIIRS_SNPP_CorrectedReflectance_TrueColor,data\real_images\sao_paulo_paulista_2025-05-01.png,Trecho denso da Avenida Paulista.,0.5180841088294983,0.47392767667770386,0.00798820424824953,0.3379555642604828,0.34457290172576904,0.31747153401374817,0.3595973551273346,0.29965445399284363,0.34074825048446655,154.664306640625,159.412841796875,156.6826171875,156.919921875,45.88813400268555,0.015119008752219831,0.006482513210647158,-0.010597281505945227,9.836299896240234,0.9875998535353315
mexico_city_centro,alta,2,19.4326,-99.1332,2500,2025-05-01,VIIRS_SNPP_CorrectedReflectance_TrueColor,data\real_images\mexico_city_centro_2025-05-01.png,Centro urbano compacto e muito ocupado.,0.6148683428764343,0.36700931191444397,0.018122302368283272,0.33826759457588196,0.34456542134284973,0.3171670138835907,0.33778345584869385,0.3354393243789673,0.3267771899700165,150.482666015625,150.751953125,150.86181640625,150.6988067626953,9.812572479248047,0.0008939447601815964,0.00125819589449664,0.015767436740758874,8.506494522094727,0.9989430354738422
santiago_centro,alta,2,-33.4489,-70.6693,2500,2025-05-01,VIIRS_SNPP_CorrectedReflectance_TrueColor,data\real_images\santiago_centro_2025-05-01.png,Centro urbano com alta presenca de edificacoes.,0.41978201270103455,0.46933308243751526,0.11088486015796661,0.3373473584651947,0.3439886271953583,0.31866398453712463,0.32150304317474365,0.35480183362960815,0.3236951231956482,109.634033203125,105.6455078125,94.70849609375,103.329345703125,8.704504013061523,-0.018527192001725052,-0.07304175572261959,-0.021617336266032648,8.35392951965332,0.9389371050521667
buenos_aires_microcentro,alta,2,-34.6037,-58.3816,2500,2025-05-01,VIIRS_SNPP_CorrectedReflectance_TrueColor,data\real_images\buenos_aires_microcentro_2025-05-01.png,Area central densa com malha urbana concentrada.,0.7666711211204529,0.23243404924869537,0.0008948862086981535,0.3382665514945984,0.3448323905467987,0.3169010579586029,0.40503355860710144,0.2580144703388214,0.3369519114494324,205.87890625,205.87890625,203.87890625,205.2122344970703,1.6805366277694702,0.0,-0.004880931952825648,0.010836670514469519,8.055743217468262,0.9954056879510779
seoul_gangnam,alta,2,37.4979,127.0276,2500,2025-05-01,VIIRS_SNPP_CorrectedReflectance_TrueColor,data\real_images\seoul_gangnam_2025-05-01.png,Distrito urbano muito consolidado.,0.8364715576171875,0.1634182333946228,0.00011014458141289651,0.3378463387489319,0.3452179729938507,0.3169357478618622,0.5155911445617676,0.1990639716386795,0.28534483909606934,244.10498046875,244.38623046875,244.24560546875,244.24560546875,0.491361141204834,0.0005757524264448374,0.0002879591098005109,0.015387300687455231,8.017365455627441,0.9995299001123565
paris_ladefense,alta,2,48.8919,2.237,2500,2025-05-01,VIIRS_SNPP_CorrectedReflectance_TrueColor,data\real_images\paris_ladefense_2025-05-01.png,Regiao empresarial com forte densidade construtiva.,0.7059769630432129,0.2621532678604126,0.031869739294052124,0.3370394706726074,0.34366995096206665,0.3192906677722931,0.3543517291545868,0.33534619212150574,0.31030210852622986,82.663330078125,82.9296875,71.428466796875,79.00716400146484,6.546590805053711,0.0016085063594740664,-0.07291019709267633,-0.06720032482383094,8.267663955688477,0.9321574242220602
sao_paulo_centro,media,1,-23.5505,-46.6333,12000,2025-05-01,VIIRS_SNPP_CorrectedReflectance_TrueColor,data\real_images\sao_paulo_centro_2025-05-01.png,"Centro amplo com mistura de vias, construcoes e vegetacao.",0.374455064535141,0.612056314945221,0.013488562777638435,0.3373892903327942,0.3446798324584961,0.3179309368133545,0.3382920026779175,0.330607533454895,0.3311004638671875,135.556396484375,133.583984375,129.453857421875,132.86474609375,47.25892639160156,-0.007328562525637108,-0.023027558263570277,0.007155826014356138,14.748888969421387,0.9808622576494708
